t,x_s1,x_s2,x_s3,x_s_d1,x_s_d2,x_s_d3
0,-0.0599999986588955,2.94000005722046,1.17999994754791,-0.0599999986588955,2.94000005722046,1.95999991893768
0.01999999,-0.0599999986588955,2.94000005722046,1.17999994754791,-0.0599999986588955,2.94000005722046,1.95999991893768
0.03999998,-0.0599999986588955,2.94000005722046,1.17607593536377,-0.0599999986588955,2.94000005722046,1.95999991893768
0.05999998,-0.0599999986588955,2.94000005722046,1.16822791099548,-0.0599999986588955,2.94000005722046,1.95999991893768
0.07999997,-0.0599999986588955,2.94000005722046,1.16759252548218,-0.0599999986588955,2.94000005722046,1.95999991893768
0.09999996,-0.0599999986588955,2.94000005722046,1.17467701435089,-0.0599999986588955,2.94000005722046,1.95999991893768
0.12,-0.0599999986588955,2.94000005722046,1.18867909908295,-0.0599999986588955,2.94000005722046,1.95999991893768
0.14,-0.0599999986588955,2.94000005722046,1.2086728811264,-0.0599999986588955,2.94000005722046,1.95999991893768
0.1599999,-0.0599999986588955,2.94000005722046,1.23376262187958,-0.0599999986588955,2.94000005722046,1.95999991893768
0.1799999,-0.0599999986588955,2.94000005722046,1.26310455799103,-0.0599999986588955,2.94000005722046,1.95999991893768
0.1999999,-0.0599999986588955,2.94000005722046,1.29591107368469,-0.0599999986588955,2.94000005722046,1.95999991893768
0.2199999,-0.0599999986588955,2.94000005722046,1.33145248889923,-0.0599999986588955,2.94000005722046,1.95999991893768
0.2399999,-0.0599999986588955,2.94000005722046,1.3690572977066,-0.0599999986588955,2.94000005722046,1.95999991893768
0.2599999,-0.0599999986588955,2.94000005722046,1.40811216831207,-0.0599999986588955,2.94000005722046,1.95999991893768
0.2799999,-0.0599999986588955,2.94000005722046,1.44806098937988,-0.0599999986588955,2.94000005722046,1.95999991893768
0.2999999,-0.0599999986588955,2.94000005722046,1.48840403556824,-0.0599999986588955,2.94000005722046,1.95999991893768
0.3199999,-0.0599999986588955,2.94000005722046,1.52869594097137,-0.0599999986588955,2.94000005722046,1.95999991893768
0.3399999,-0.0599999986588955,2.94000005722046,1.56854403018951,-0.0599999986588955,2.94000005722046,1.95999991893768
0.3599999,-0.0599999986588955,2.94000005722046,1.60760581493378,-0.0599999986588955,2.94000005722046,1.95999991893768
0.3799999,-0.0599999986588955,2.94000005722046,1.64558684825897,-0.0599999986588955,2.94000005722046,1.95999991893768
0.3999999,-0.0599999986588955,2.94000005722046,1.68223762512207,-0.0599999986588955,2.94000005722046,1.95999991893768
0.4199998,-0.0599999986588955,2.94000005722046,1.71735107898712,-0.0599999986588955,2.94000005722046,1.95999991893768
0.4399998,-0.0599999986588955,2.94000005722046,1.75075948238373,-0.0599999986588955,2.94000005722046,1.95999991893768
0.4599998,-0.0599999986588955,2.94000005722046,1.78233170509338,-0.0599999986588955,2.94000005722046,1.95999991893768
0.4799998,-0.0599999986588955,2.94000005722046,1.81196999549866,-0.0599999986588955,2.94000005722046,1.95999991893768
0.4999998,-0.0599999986588955,2.94000005722046,1.83960723876953,-0.0599999986588955,2.94000005722046,1.95999991893768
0.5199998,-0.0599999986588955,2.94000005722046,1.86520397663116,-0.0599999986588955,2.94000005722046,1.95999991893768
0.5399998,-0.0599999986588955,2.94000005722046,1.88874554634094,-0.0599999986588955,2.94000005722046,1.95999991893768
0.5599998,-0.0599999986588955,2.94000005722046,1.91023933887482,-0.0599999986588955,2.94000005722046,1.95999991893768
0.5799998,-0.0599999986588955,2.94000005722046,1.92971205711365,-0.0599999986588955,2.94000005722046,1.95999991893768
0.5999998,-0.0599999986588955,2.94000005722046,1.9472074508667,-0.0599999986588955,2.94000005722046,1.95999991893768
0.6199998,-0.0599999986588955,2.94000005722046,1.96278357505798,-0.0599999986588955,2.94000005722046,1.95999991893768
0.6399997,-0.0599999986588955,2.94000005722046,1.97651076316833,-0.0599999986588955,2.94000005722046,1.95999991893768
0.6599998,-0.0599999986588955,2.94000005722046,1.98846936225891,-0.0599999986588955,2.94000005722046,1.95999991893768
0.6799998,-0.0599999986588955,2.94000005722046,1.99874782562256,-0.0599999986588955,2.94000005722046,1.95999991893768
0.6999997,-0.0599999986588955,2.94000005722046,2.00744104385376,-0.0599999986588955,2.94000005722046,1.95999991893768
0.7199997,-0.0599999986588955,2.94000005722046,2.01464819908142,-0.0599999986588955,2.94000005722046,1.95999991893768
0.7399997,-0.0599999986588955,2.94000005722046,2.02047181129456,-0.0599999986588955,2.94000005722046,1.95999991893768
0.7599998,-0.0599999986588955,2.94000005722046,2.02501606941223,-0.0599999986588955,2.94000005722046,1.95999991893768
0.7799997,-0.0599999986588955,2.94000005722046,2.02838563919067,-0.0599999986588955,2.94000005722046,1.95999991893768
0.7999997,-0.0599999986588955,2.94000005722046,2.03068447113037,-0.0599999986588955,2.94000005722046,1.95999991893768
0.8199997,-0.0599999986588955,2.94000005722046,2.03201508522034,-0.0599999986588955,2.94000005722046,1.95999991893768
